,sum
2013-05-19 20:13:00,1
2013-05-19 20:14:00,0
2013-05-19 20:15:00,0
2013-05-19 20:16:00,2
2013-05-19 20:17:00,1
2013-05-19 20:18:00,2
2013-05-19 20:19:00,0
2013-05-19 20:20:00,1
2013-05-19 20:21:00,0
2013-05-19 20:22:00,0
2013-05-19 20:23:00,0
2013-05-19 20:24:00,1
2013-05-19 20:25:00,1
2013-05-19 20:26:00,1
2013-05-19 20:27:00,0
2013-05-19 20:28:00,0
2013-05-19 20:29:00,1
2013-05-19 20:30:00,1
2013-05-19 20:31:00,0
2013-05-19 20:32:00,2
2013-05-19 20:33:00,1
2013-05-19 20:34:00,1
2013-05-19 20:35:00,2
2013-05-19 20:36:00,0
2013-05-19 20:37:00,1
2013-05-19 20:38:00,3
2013-05-19 20:39:00,3
2013-05-19 20:40:00,4
2013-05-19 20:41:00,0
2013-05-19 20:42:00,3
2013-05-19 20:43:00,2
2013-05-19 20:44:00,3
2013-05-19 20:45:00,7
2013-05-19 20:46:00,6
2013-05-19 20:47:00,9
2013-05-19 20:48:00,14
2013-05-19 20:49:00,14
2013-05-19 20:50:00,15
2013-05-19 20:51:00,17
2013-05-19 20:52:00,9
2013-05-19 20:53:00,5
2013-05-19 20:54:00,4
2013-05-19 20:55:00,7
2013-05-19 20:56:00,0
2013-05-19 20:57:00,6
2013-05-19 20:58:00,6
2013-05-19 20:59:00,7
2013-05-19 21:00:00,10
2013-05-19 21:01:00,13
2013-05-19 21:02:00,19
2013-05-19 21:03:00,13
2013-05-19 21:04:00,10
2013-05-19 21:05:00,16
2013-05-19 21:06:00,16
2013-05-19 21:07:00,15
2013-05-19 21:08:00,18
2013-05-19 21:09:00,12
2013-05-19 21:10:00,13
2013-05-19 21:11:00,16
2013-05-19 21:12:00,9
2013-05-19 21:13:00,12
2013-05-19 21:14:00,16
2013-05-19 21:15:00,7
2013-05-19 21:16:00,7
2013-05-19 21:17:00,8
2013-05-19 21:18:00,13
2013-05-19 21:19:00,10
2013-05-19 21:20:00,4
2013-05-19 21:21:00,6
2013-05-19 21:22:00,6
2013-05-19 21:23:00,7
2013-05-19 21:24:00,1
2013-05-19 21:25:00,8
2013-05-19 21:26:00,6
2013-05-19 21:27:00,6
2013-05-19 21:28:00,5
2013-05-19 21:29:00,4
2013-05-19 21:30:00,6
2013-05-19 21:31:00,4
2013-05-19 21:32:00,4
2013-05-19 21:33:00,3
2013-05-19 21:34:00,1
2013-05-19 21:35:00,2
2013-05-19 21:36:00,2
2013-05-19 21:37:00,5
2013-05-19 21:38:00,7
2013-05-19 21:39:00,1
2013-05-19 21:40:00,4
2013-05-19 21:41:00,2
2013-05-19 21:42:00,1
2013-05-19 21:43:00,3
2013-05-19 21:44:00,0
2013-05-19 21:45:00,3
2013-05-19 21:46:00,3
2013-05-19 21:47:00,3
2013-05-19 21:48:00,2
2013-05-19 21:49:00,8
2013-05-19 21:50:00,6
2013-05-19 21:51:00,2
2013-05-19 21:52:00,10
2013-05-19 21:53:00,10
2013-05-19 21:54:00,7
2013-05-19 21:55:00,15
2013-05-19 21:56:00,12
2013-05-19 21:57:00,14
2013-05-19 21:58:00,15
2013-05-19 21:59:00,9
2013-05-19 22:00:00,9
2013-05-19 22:01:00,9
2013-05-19 22:02:00,6
2013-05-19 22:03:00,9
2013-05-19 22:04:00,12
2013-05-19 22:05:00,6
2013-05-19 22:06:00,12
2013-05-19 22:07:00,12
2013-05-19 22:08:00,11
2013-05-19 22:09:00,13
2013-05-19 22:10:00,11
2013-05-19 22:11:00,6
2013-05-19 22:12:00,5
2013-05-19 22:13:00,5
2013-05-19 22:14:00,5
2013-05-19 22:15:00,3
2013-05-19 22:16:00,3
2013-05-19 22:17:00,9
2013-05-19 22:18:00,7
2013-05-19 22:19:00,7
2013-05-19 22:20:00,5
2013-05-19 22:21:00,7
2013-05-19 22:22:00,8
2013-05-19 22:23:00,3
2013-05-19 22:24:00,3
2013-05-19 22:25:00,5
2013-05-19 22:26:00,1
2013-05-19 22:27:00,7
2013-05-19 22:28:00,2
2013-05-19 22:29:00,5
2013-05-19 22:30:00,4
